,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
51,compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,497.74,2685424751,52,4972231094.0,239891125,500.4,451.88,22.87,4.81651,119510999.0,4.65764,5400844.610974923,10000000.0,10000000.0,910.54,-45.39266,2021-05-12T02:29:08.794Z,61.32,710.84062,2020-06-18T12:54:32.788Z,,2021-08-16T03:24:41.667Z
52,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3293.24,2668136260,53,2668136260.0,3288255,3318.23,3131.85,28.71,0.87947,114789851.0,4.49566,807331.896747127,807331.896747127,807331.896747127,4309.29,-23.58346,2021-05-12T09:57:17.253Z,482.9,581.92941,2020-12-22T04:08:21.854Z,,2021-08-16T03:24:29.982Z
53,elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,135.98,2655423567,54,,55981469,139.91,132.02,-2.297860197411,-1.66178,-59799111.00501394,-2.20236,19585209.0,20397843.0,,243.92,-44.35512,2021-04-12T02:24:35.343Z,6.51,1986.017,2020-10-07T01:44:53.554Z,,2021-08-16T03:25:12.046Z
54,celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,6.12,2585889179,55,,9213260,6.34,5.98,-0.061804702949,-1.0002,-27367438.83206606,-1.04725,423415980.3475,695658160.9671,,8.05,-24.03989,2021-06-04T00:04:12.584Z,0.02620268,23227.81041,2018-12-07T00:00:00.000Z,"{'times': 19.3913813028892, 'currency': 'usd', 'percentage': 1939.13813028892}",2021-08-16T03:25:09.392Z
55,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,276.94,2480116010,56,2761791675.0,174469094,281.29,261.5,1.59,0.57831,-4045124.2059555054,-0.16284,8980098.074112339,10000000.0,10000000.0,621.71,-55.5413,2021-05-18T05:04:41.858Z,0.876572,31432.14125,2020-01-14T19:20:20.768Z,,2021-08-16T03:25:09.984Z
56,waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,24.4,2432398553,57,,258087928,25.2,24.22,-0.716175556748,-2.85194,-76765536.35719824,-3.05941,100000000.0,100000000.0,,43.01,-43.38812,2021-05-04T06:49:41.528Z,0.130878,18505.82223,2016-08-02T00:00:00.000Z,"{'times': 128.76437137813963, 'currency': 'usd', 'percentage': 12876.437137813962}",2021-08-16T03:24:40.708Z
57,sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,12.43,2392524155,58,3102512306.0,368755533,12.67,11.57,0.235371,1.93078,30968072.0,1.31134,192789255.8554817,231419985.724387,250000000.0,23.38,-46.91107,2021-03-13T23:44:36.774Z,0.475381,2510.60164,2020-11-04T14:53:53.560Z,,2021-08-16T03:24:59.584Z
58,hedera-hashgraph,hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.257101,2389412109,59,,115557450,0.261729,0.24166,7.312e-05,0.02845,12947652.0,0.54483,9294751123.0,50000000000.0,,0.448365,-42.66478,2021-03-15T01:53:34.974Z,0.00986111,2506.91861,2020-01-02T17:30:24.852Z,,2021-08-16T03:25:07.760Z
59,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,176.0,2330365552,60,,17433371,177.56,165.88,4.33,2.52113,57553672.0,2.53227,13218904.0814051,21000000.0,,247.35,-28.92625,2021-04-17T00:41:14.790Z,0.43154,40638.23825,2016-12-26T00:00:00.000Z,,2021-08-16T03:24:45.788Z
60,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,8.49,2249160084,61,4240965161.0,181584457,8.76,8.0,0.312973,3.82916,82320739.0,3.79912,265170780.59540513,500000000.0,500000000.0,20.87,-59.36767,2021-05-19T00:30:09.436Z,0.00851264,99504.58668,2019-09-28T00:00:00.000Z,"{'times': 222.32568570821516, 'currency': 'usd', 'percentage': 22232.568570821517}",2021-08-16T03:24:49.404Z
61,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,13.49,2241568003,62,6771542241.0,535608693,13.73,12.99,-0.065798168595,-0.48525,-33179315.23816824,-1.45859,165513846.25441208,500000000.0,500000000.0,39.66,-65.8873,2021-05-12T14:42:21.586Z,0.90862,1389.0012,2019-01-30T00:00:00.000Z,"{'times': 12.630076287795758, 'currency': 'usd', 'percentage': 1263.0076287795757}",2021-08-16T03:25:13.641Z
62,havven,snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,12.98,2200223233,63,3011662760.0,144317967,13.25,12.05,0.229109,1.79674,39457526.0,1.82609,169500512.30725345,232012085.500648,232012085.500648,28.53,-54.54653,2021-02-14T01:12:38.505Z,0.0347864,37181.56536,2019-01-06T00:00:00.000Z,"{'times': 24.96098985061142, 'currency': 'usd', 'percentage': 2496.098985061142}",2021-08-16T03:24:39.360Z
63,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,212.06,2178386073,64,,479797609,214.49,192.3,11.43,5.69531,115562433.0,5.60215,10282475.1298414,18920000.0,,1493.59,-85.82885,2017-12-20T00:00:00.000Z,0.213899,98852.75635,2014-02-14T00:00:00.000Z,,2021-08-16T03:24:37.132Z
64,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,2108948897,65,,51213216,1.02,0.995293,-0.001937090096,-0.19302,2372990.0,0.11265,2106353566.80402,2105792918.78788,,1.09,-8.51599,2021-01-11T22:30:57.984Z,0.857992,16.42536,2021-05-19T13:14:26.898Z,,2021-08-16T03:24:53.436Z
65,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.01181811,2091892460,66,,223290847,0.01197682,0.01120948,0.00014333,1.22767,20701905.0,0.99952,177619433541.141,177619433541.141,,0.03126682,-62.3664,2021-04-05T16:04:52.608Z,0.0002202,5243.72856,2020-03-13T02:23:01.612Z,"{'times': 14.805748263023775, 'currency': 'eth', 'percentage': 1480.5748263023775}",2021-08-16T03:25:05.385Z
66,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,159.09,2062571077,67,2322755688.0,38834857,164.94,147.99,8.36,5.54473,104833990.0,5.35486,12975667.469289193,14612493.0,14612493.0,186.36,-14.75036,2021-08-02T00:49:26.991Z,0.215773,73527.55948,2018-08-23T00:00:00.000Z,"{'times': 19.753282063392096, 'currency': 'eth', 'percentage': 1975.3282063392096}",2021-08-16T03:24:59.056Z
67,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.37447,1998581728,68,3324280732.0,321717209,0.380957,0.353803,0.00838831,2.29138,42955224.0,2.19649,5344064580.0,8888888888.0,8888888888.0,0.878633,-57.43776,2021-03-13T08:04:21.200Z,0.00410887,9001.42285,2019-09-28T00:00:00.000Z,"{'times': 16.021363657090838, 'currency': 'usd', 'percentage': 1602.1363657090837}",2021-08-16T03:24:52.579Z
68,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.218706,1958584881,69,,117716602,0.219922,0.205311,0.00494216,2.31198,29775377.0,1.54372,8999999999.0,8999999999.0,,1.87,-88.33875,2018-01-07T00:00:00.000Z,8.482e-05,256800.99611,2015-09-05T00:00:00.000Z,,2021-08-16T03:24:54.334Z
69,huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,47776.0,1912133825,70,1912133825.0,13293947,47948.0,45677.0,399.62,0.84351,21522522.0,1.13839,39906.36705999,39906.36705999,39906.36705999,69325.0,-31.05207,2021-05-10T02:33:06.038Z,11209.02,326.42616,2020-10-12T03:56:16.768Z,,2021-08-16T03:24:25.793Z
